City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
112,Salamiyah,SY,35.0113,37.0532,78.57,21,100,9.4,overcast clouds,2022-04-18 18:49:36
113,Totness,SR,5.8833,-56.3167,81.63,71,91,10.63,overcast clouds,2022-04-18 18:49:36
114,Port Elizabeth,ZA,-33.918,25.5701,63.1,92,0,3.44,clear sky,2022-04-18 18:46:11
115,Toda Raisingh,IN,26.0252,75.4849,89.76,16,5,8.55,clear sky,2022-04-18 18:49:37
116,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,69,40,8.05,scattered clouds,2022-04-18 18:49:37
117,Ibra,OM,22.6906,58.5334,82.29,32,0,2.51,clear sky,2022-04-18 18:49:37
118,Nefteyugansk,RU,61.0998,72.6035,30.88,87,90,15.14,overcast clouds,2022-04-18 18:49:38
119,Casablanca,MA,33.5928,-7.6192,66.42,77,75,6.91,broken clouds,2022-04-18 18:47:54
120,Riyadh,SA,24.6877,46.7219,80.74,10,48,7.72,scattered clouds,2022-04-18 18:46:25
121,Manica,FR,49.0,-1.1667,46.27,83,100,4.16,overcast clouds,2022-04-18 18:49:38
122,Udankudi,IN,8.4333,78.0167,84.36,70,100,8.95,overcast clouds,2022-04-18 18:49:39
123,Mitsamiouli,KM,-11.3847,43.2844,82.69,74,20,9.22,few clouds,2022-04-18 18:49:39
124,Kruisfontein,ZA,-34.0033,24.7314,60.89,90,7,3.0,clear sky,2022-04-18 18:49:39
125,Castro,BR,-24.7911,-50.0119,67.62,57,43,3.18,scattered clouds,2022-04-18 18:49:39
126,Rawson,AR,-43.3002,-65.1023,69.37,42,5,4.79,clear sky,2022-04-18 18:49:01
127,Ugoofaaru,MV,5.6667,73.0,84.49,67,100,7.25,overcast clouds,2022-04-18 18:49:40
128,Marathon,US,44.9,-89.7668,34.36,79,100,9.22,overcast clouds,2022-04-18 18:49:40
129,Sana,YE,15.3547,44.2067,68.11,27,95,8.01,overcast clouds,2022-04-18 18:46:24
130,Teguise,ES,29.0605,-13.564,70.02,56,0,21.85,clear sky,2022-04-18 18:49:41
131,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,73,75,14.97,broken clouds,2022-04-18 18:49:41
132,Antalaha,MG,-14.9003,50.2788,74.75,88,96,7.7,overcast clouds,2022-04-18 18:49:41
133,Clyde River,CA,70.4692,-68.5914,-7.37,71,75,2.3,broken clouds,2022-04-18 18:49:42
134,Martinsburg,US,39.4562,-77.9639,36.68,93,100,3.44,fog,2022-04-18 18:49:20
135,Naliya,IN,23.2667,68.8333,80.04,80,70,10.42,broken clouds,2022-04-18 18:49:42
136,Constantine,DZ,36.365,6.6147,60.21,51,0,5.75,clear sky,2022-04-18 18:49:43
137,Point Pedro,LK,9.8167,80.2333,82.27,84,13,11.52,few clouds,2022-04-18 18:49:43
138,Uyuni,BO,-20.4597,-66.825,58.19,9,0,13.31,clear sky,2022-04-18 18:49:43
139,Buchanan,LR,5.8808,-10.0467,80.17,80,53,6.62,light rain,2022-04-18 18:49:43
140,Sorland,NO,67.667,12.6934,44.46,89,78,4.03,broken clouds,2022-04-18 18:49:44
141,Feldkirchen,DE,48.148,11.7434,48.88,71,18,2.1,few clouds,2022-04-18 18:49:44
142,Cabedelo,BR,-6.9811,-34.8339,88.47,70,82,10.4,broken clouds,2022-04-18 18:49:45
143,Jaru,BR,-10.4389,-62.4664,81.19,87,42,5.59,scattered clouds,2022-04-18 18:49:45
144,Mazzarino,IT,37.3043,14.2141,57.87,75,0,7.23,clear sky,2022-04-18 18:49:45
145,Touros,BR,-5.1989,-35.4608,84.15,67,94,11.25,overcast clouds,2022-04-18 18:45:55
146,Trinidad,BO,-14.8333,-64.9,85.98,39,4,10.36,clear sky,2022-04-18 18:49:46
147,Hornepayne,CA,49.2138,-84.7705,34.12,62,100,6.76,overcast clouds,2022-04-18 18:49:46
148,Molina,CL,-35.1167,-71.2833,75.06,29,40,7.9,scattered clouds,2022-04-18 18:49:46
149,Klaksvik,FO,62.2266,-6.589,45.52,85,8,23.78,light rain,2022-04-18 18:49:47
150,Izhma,RU,65.0083,53.9113,32.74,95,100,4.59,overcast clouds,2022-04-18 18:49:47
151,Turukhansk,RU,65.8167,87.9833,19.58,95,100,15.84,snow,2022-04-18 18:49:47
152,Lokachi,UA,50.737,24.6494,35.74,98,100,4.63,overcast clouds,2022-04-18 18:49:47
153,Arlit,NE,18.7369,7.3853,83.35,8,8,4.14,clear sky,2022-04-18 18:49:48
154,San Cristobal,VE,7.7669,-72.225,78.98,56,96,5.93,overcast clouds,2022-04-18 18:49:48
155,Cap-Aux-Meules,CA,47.3821,-61.8597,35.65,69,0,23.02,clear sky,2022-04-18 18:49:48
156,Victoria,HK,22.2855,114.1577,70.25,84,100,8.01,overcast clouds,2022-04-18 18:49:42
157,Sosnovka,RU,56.255,51.2842,33.55,100,100,2.13,overcast clouds,2022-04-18 18:49:49
158,Vredendal,ZA,-31.6683,18.5012,76.33,25,0,8.99,clear sky,2022-04-18 18:49:49
159,Beloha,MG,-25.1667,45.05,74.71,86,69,12.75,broken clouds,2022-04-18 18:49:50
160,Mecca,SA,21.4267,39.8261,87.42,22,7,2.98,clear sky,2022-04-18 18:47:57
161,Waddan,LY,29.1614,16.139,68.99,35,6,17.67,clear sky,2022-04-18 18:49:50
162,Nouadhibou,MR,20.931,-17.0347,69.78,78,100,14.97,overcast clouds,2022-04-18 18:49:50
