City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,Kirishi,59.4471,32.0205,33.71,92,91,3.8,RU,2022-04-12 00:14:57
205,Lasa,46.6166,10.7002,38.35,73,77,0.96,IT,2022-04-12 00:10:26
206,Mechanicsville,37.6088,-77.3733,66.52,60,100,11.5,US,2022-04-12 00:14:58
207,Asmar,35.0333,71.3581,66.49,48,67,13.47,AF,2022-04-12 00:14:58
208,Timra,62.487,17.3257,34.56,82,61,8.93,SE,2022-04-12 00:14:59
209,Chingirlau,51.095,54.0814,46.33,85,89,7.74,KZ,2022-04-12 00:14:59
210,Parana,-31.732,-60.5238,69.51,98,54,7.65,AR,2022-04-12 00:10:57
211,Biltine,14.5333,20.9167,84.97,8,4,7.14,TD,2022-04-12 00:15:00
212,Lena,43.1,-5.7333,41.34,92,98,6.15,ES,2022-04-12 00:15:00
213,Mathathane,-22.2687,28.7495,69.31,74,77,6.87,BW,2022-04-12 00:15:01
214,Skovby,56.1534,9.957,35.44,80,67,2.55,DK,2022-04-12 00:15:01
215,Saint-Philippe,-21.3585,55.7679,74.79,85,96,14.99,RE,2022-04-12 00:07:43
216,Ladybrand,-29.1945,27.4574,46.13,83,56,2.35,ZA,2022-04-12 00:15:02
217,Hobyo,5.3505,48.5268,81.97,73,30,9.17,SO,2022-04-12 00:15:02
218,Kangema,-0.6833,36.9667,57.36,79,69,2.66,KE,2022-04-12 00:15:03
219,Bauchi,10.5,10.0,83.48,35,55,3.98,NG,2022-04-12 00:15:03
220,Ostrovnoy,68.0531,39.5131,31.05,88,71,21.21,RU,2022-04-12 00:07:55
221,Hattiesburg,31.3271,-89.2903,71.92,83,20,6.91,US,2022-04-12 00:11:00
222,Cornwall,45.0181,-74.7281,54.64,57,100,4.61,CA,2022-04-12 00:15:00
223,Krasnosilka,46.6226,30.7742,43.68,55,100,21.65,UA,2022-04-12 00:15:04
224,Pisco,-13.7,-76.2167,66.02,82,0,17.27,PE,2022-04-12 00:08:17
225,Ampanihy,-24.7,44.75,70.27,79,97,9.66,MG,2022-04-12 00:15:06
226,Benjamin Aceval,-24.9667,-57.5667,74.32,93,100,3.58,PY,2022-04-12 00:15:07
227,Xuddur,4.1213,43.8894,75.74,81,50,10.02,SO,2022-04-12 00:13:51
228,Marzuq,14.4,46.4667,70.29,23,0,5.91,YE,2022-04-12 00:12:26
229,Tabas,33.5959,56.9244,67.59,18,0,1.95,IR,2022-04-12 00:09:51
230,Mocuba,-16.8392,36.9856,69.76,98,9,2.35,MZ,2022-04-12 00:15:08
231,Mbala,-8.8402,31.3659,60.26,94,47,8.08,ZM,2022-04-12 00:15:09
232,Gamba,-2.65,10.0,77.13,91,100,3.4,GA,2022-04-12 00:15:09
233,Libenge,3.65,18.6333,71.98,74,23,0.63,CD,2022-04-12 00:15:10
234,Hambantota,6.1241,81.1185,79.48,85,100,8.81,LK,2022-04-12 00:12:24
235,Bridlington,54.0831,-0.1919,46.33,90,100,13.0,GB,2022-04-12 00:15:10
236,Artur Nogueira,-22.5731,-47.1725,71.04,78,98,3.11,BR,2022-04-12 00:15:11
237,Tiznit,29.5833,-9.5,56.89,74,37,5.77,MA,2022-04-12 00:15:11
238,Mizdah,31.4451,12.9801,53.37,59,7,10.67,LY,2022-04-12 00:15:12
239,Kutum,14.2,24.6667,73.98,10,0,5.68,SD,2022-04-12 00:11:14
240,Tahta,26.7693,31.5021,66.49,48,1,16.82,EG,2022-04-12 00:15:12
241,Harper,4.375,-7.7169,80.29,86,45,6.2,LR,2022-04-12 00:08:58
242,Cayenne,4.9333,-52.3333,82.09,1,75,8.05,GF,2022-04-12 00:08:10
243,Ambovombe,-25.1667,46.0833,72.5,85,100,16.35,MG,2022-04-12 00:08:09
244,Niquero,20.0431,-77.5828,79.34,68,61,22.46,CU,2022-04-12 00:15:13
245,Abu Zabad,12.35,29.25,80.26,56,52,7.96,SD,2022-04-12 00:15:14
246,Thompson,55.7435,-97.8558,31.15,77,100,4.07,CA,2022-04-12 00:10:47
247,Muros,42.7762,-9.0603,54.84,86,66,17.52,ES,2022-04-12 00:08:15
248,Santiago De Compostela,42.8805,-8.5457,52.18,87,75,11.5,ES,2022-04-12 00:15:14
249,Bud,39.447,-86.1758,59.92,95,100,7.27,US,2022-04-12 00:09:34
250,Mykhaylivka,47.2724,35.2224,43.74,88,100,17.81,UA,2022-04-12 00:15:15
251,Le Vauclin,14.5452,-60.8388,78.85,73,75,6.91,MQ,2022-04-12 00:15:15
252,Marataizes,-21.0433,-40.8244,75.31,85,5,5.88,BR,2022-04-12 00:15:16
253,Fleurus,50.4843,4.5518,53.17,61,0,4.61,BE,2022-04-12 00:15:16
254,Marawi,7.9986,124.2928,72.99,83,100,6.11,PH,2022-04-12 00:08:05
255,Urumqi,43.801,87.6005,41.95,36,0,2.24,CN,2022-04-12 00:07:56
256,Hearst,49.6835,-83.6665,35.65,91,100,16.55,CA,2022-04-12 00:09:22
257,Sao Joao Da Barra,-21.6403,-41.0511,76.64,83,13,9.15,BR,2022-04-12 00:06:33
258,Aksarka,66.5606,67.7975,34.11,100,100,9.62,RU,2022-04-12 00:15:18
259,Gazojak,41.1875,61.4036,60.91,50,59,7.65,TM,2022-04-12 00:15:19
260,Harindanga,22.0383,88.3214,81.68,74,80,15.37,IN,2022-04-12 00:15:19
261,Husavik,66.0449,-17.3389,29.23,93,100,8.34,IS,2022-04-12 00:07:51
262,Ancud,-41.8697,-73.8203,47.23,84,46,10.63,CL,2022-04-12 00:15:20
263,Douentza,14.9951,-2.9517,87.49,9,53,6.11,ML,2022-04-12 00:15:20
264,Bandarbeyla,9.4942,50.8122,78.75,81,4,2.35,SO,2022-04-12 00:09:59
265,Mvuma,-19.2792,30.5283,58.3,97,100,5.66,ZW,2022-04-12 00:15:21
266,Oranjestad,12.524,-70.027,80.55,78,20,23.02,AW,2022-04-12 00:15:21
267,Ilulissat,69.2167,-51.1,23.02,63,75,3.44,GL,2022-04-12 00:07:28
268,Gagra,43.3283,40.2239,52.72,99,100,2.62,GE,2022-04-12 00:15:22
269,Arlit,18.7369,7.3853,85.71,8,0,4.59,NE,2022-04-12 00:15:22
270,Macusani,-14.0833,-70.4333,38.79,93,99,2.51,PE,2022-04-12 00:15:23
271,Pelym,61.0108,61.9978,31.96,98,28,5.39,RU,2022-04-12 00:15:23
272,Natal,-5.795,-35.2094,80.82,83,20,5.75,BR,2022-04-12 00:15:24
273,Tucuma,-0.1833,-50.05,76.59,92,91,6.11,BR,2022-04-12 00:15:24
274,Nouadhibou,20.931,-17.0347,64.15,85,82,24.47,MR,2022-04-12 00:11:27
275,Axim,4.8699,-2.2405,81.07,85,65,7.87,GH,2022-04-12 00:11:25
276,Lysychovo,48.4968,23.2899,32.74,84,16,3.29,UA,2022-04-12 00:15:25
277,Doha,25.2867,51.5333,78.78,36,0,3.44,QA,2022-04-12 00:08:35
278,Bossangoa,6.4926,17.4552,75.09,63,33,2.19,CF,2022-04-12 00:15:25
279,Sokoni,-6.4333,39.55,83.12,76,90,13.85,TZ,2022-04-12 00:15:26
280,Ponta Delgada,37.7333,-25.6667,61.52,94,75,12.66,PT,2022-04-12 00:09:49
281,Moroto,2.5345,34.6666,69.69,60,56,5.84,UG,2022-04-12 00:15:26
282,Grand Gaube,-20.0064,57.6608,74.37,87,22,5.99,MU,2022-04-12 00:09:36
283,Ibatiba,-20.2339,-41.5106,64.54,98,17,3.36,BR,2022-04-12 00:15:27
284,Chapais,49.7834,-74.8492,40.78,92,100,8.05,CA,2022-04-12 00:15:27
285,Lodja,-3.4833,23.4333,73.15,87,91,0.27,CD,2022-04-12 00:15:28
286,Nuuk,64.1835,-51.7216,29.01,64,75,10.36,GL,2022-04-12 00:11:59
287,San Carlos De Bariloche,-41.1456,-71.3082,46.15,76,40,17.27,AR,2022-04-12 00:15:29
288,Yomou,7.5603,-9.2653,70.84,92,98,0.63,GN,2022-04-12 00:15:29
289,Urucui,-7.2294,-44.5561,77.83,84,80,3.31,BR,2022-04-12 00:15:29
290,Cururupu,-1.8283,-44.8683,75.54,94,100,3.8,BR,2022-04-12 00:12:02
291,Awjilah,29.1081,21.2869,61.66,40,0,10.13,LY,2022-04-12 00:11:11
